Estadísticas Climatológicas Normales - período 1981-2010													
													
Se deja constancia que la información vertida en el presente informe puede sufrir variaciones debido a los procesos de consistencia y depuración a los que es sometida la misma													
S/D: Sin Dato													
													
Estación	Valor Medio de	Ene	Feb	Mar	Abr	May	Jun	Jul	Ago	Sep	Oct	Nov	Dic
LAS LOMITAS	Temperatura mínima (°C)	21.7	21.1	20.3	17.5	13.7	11.8	10.4	12.2	14.2	17.8	19.3	20.9
LAS LOMITAS	Humedad relativa (%)	69.3	72.2	75.2	79.4	79.9	79.3	71.3	62.8	60.5	62.7	65.9	68.2
LAS LOMITAS	Velocidad del Viento (km/h)	5.4	7.0	6.0	5.9	5.8	5.3	6.9	8.6	8.7	9.4	9.9	8.2
LAS LOMITAS	Nubosidad total (octavos)	4.0	3.9	3.5	4.2	4.1	4.4	3.5	3.1	3.5	3.7	3.7	3.8
LAS LOMITAS	Precipitación (mm)	142.4	116.7	160.4	84.6	57.5	18.6	13.1	16.1	30.4	72.5	119.0	132.6
LAS LOMITAS	Frecuencia de días con Precipitación superior a 0.1 mm	8.8	9.2	9.9	9.3	7.1	6.0	3.9	2.9	4.4	7.3	8.7	8.8
IGUAZÚ AERO	Temperatura (°C)	25.6	24.9	24.2	21.4	17.6	15.9	15.7	17.6	19.1	21.9	23.5	25.0
IGUAZÚ AERO	Temperatura máxima (°C)	31.8	31.2	30.7	27.5	23.5	21.7	22.2	24.7	25.8	28.3	30.1	31.4
IGUAZÚ AERO	Temperatura mínima (°C)	20.5	20.2	19.3	16.8	13.1	11.7	10.8	12.2	13.7	16.5	17.8	19.5
IGUAZÚ AERO	Humedad relativa (%)	78.1	80.4	79.7	83.7	86.5	88.1	83.6	78.5	76.4	77.3	74.9	75.7
IGUAZÚ AERO	Velocidad del Viento (km/h)	6.4	6.3	5.3	6.1	6.4	6.2	7.4	8.4	8.8	7.4	7.5	6.6
IGUAZÚ AERO	Nubosidad total (octavos)	4.2	4.3	3.6	3.7	3.6	4.0	3.4	3.5	4.0	4.1	3.7	3.9
IGUAZÚ AERO	Precipitación (mm)	177.7	154.7	126.5	169.1	192.7	148.3	115.8	94.2	160.3	237.0	186.3	186.9
IGUAZÚ AERO	Frecuencia de días con Precipitación superior a 0.1 mm	10.3	10.2	8.1	8.9	8.8	8.6	8.3	6.8	9.6	11.6	9.4	9.9
TUCUMÁN AERO	Temperatura (°C)	25.2	24.0	22.6	19.2	15.7	12.7	12.2	14.9	17.8	21.8	23.4	24.9
TUCUMÁN AERO	Temperatura máxima (°C)	31.0	29.7	27.9	24.6	21.2	18.6	19.3	22.8	25.4	28.9	29.9	30.8
TUCUMÁN AERO	Temperatura mínima (°C)	20.1	19.3	18.5	15.1	11.4	8.2	6.8	8.5	11.0	15.2	17.5	19.3
TUCUMÁN AERO	Humedad relativa (%)	74.2	76.8	81.0	81.2	80.3	78.9	70.9	62.1	58.4	61.5	67.1	70.8
TUCUMÁN AERO	Velocidad del Viento (km/h)	11.6	11.3	10.0	9.6	9.4	9.7	10.7	11.2	11.8	12.2	12.0	11.1
TUCUMÁN AERO	Nubosidad total (octavos)	5.0	5.1	5.2	5.1	4.7	4.6	3.4	3.3	3.5	4.2	4.7	4.8
TUCUMÁN AERO	Precipitación (mm)	230.6	172.3	151.1	62.5	25.9	13.1	7.4	8.5	16.1	65.1	103.0	175.9
TUCUMÁN AERO	Frecuencia de días con Precipitación superior a 0.1 mm	13.7	11.5	12.9	9.6	6.9	5.2	3.3	2.1	3.3	7.3	10.8	12.1
SANTIAGO DEL ESTERO AERO	Temperatura (°C)	26.7	25.5	23.8	19.8	16.1	12.7	12.2	15.3	18.5	22.7	24.8	26.5
SANTIAGO DEL ESTERO AERO	Temperatura máxima (°C)	33.9	32.5	30.4	26.3	23.1	20.1	20.9	24.4	26.9	30.7	32.2	33.7
SANTIAGO DEL ESTERO AERO	Temperatura mínima (°C)	20.5	19.7	18.5	14.6	10.4	6.8	5.0	7.3	10.3	15.3	17.8	20.0
SANTIAGO DEL ESTERO AERO	Humedad relativa (%)	66.8	70.0	74.2	76.6	74.5	73.2	63.6	54.3	50.9	54.8	59.0	62.7
SANTIAGO DEL ESTERO AERO	Velocidad del Viento (km/h)	9.2	9.2	8.6	7.8	7.3	7.1	8.2	9.0	10.2	11.6	10.9	10.0
SANTIAGO DEL ESTERO AERO	Nubosidad total (octavos)	4.0	4.1	4.3	4.5	4.2	4.2	3.1	2.9	3.2	3.6	3.8	3.9
SANTIAGO DEL ESTERO AERO	Precipitación (mm)	134.8	100.6	91.1	35.9	17.2	6.6	3.0	2.0	12.3	44.7	66.7	114.2
SANTIAGO DEL ESTERO AERO	Frecuencia de días con Precipitación superior a 0.1 mm	9.8	8.7	9.5	7.1	4.5	3.9	1.9	1.3	2.2	5.9	7.2	8.9
RESISTENCIA AERO	Temperatura (°C)	26.8	25.9	24.6	21.2	17.6	15.4	14.8	16.7	18.5	21.8	23.6	25.8
RESISTENCIA AERO	Temperatura máxima (°C)	33.3	32.1	30.7	26.9	23.6	21.3	21.4	23.7	25.3	28.1	29.8	32.1
RESISTENCIA AERO	Temperatura mínima (°C)	20.9	20.5	19.5	16.5	12.6	10.8	9.5	10.8	12.4	15.9	17.7	19.7
RESISTENCIA AERO	Humedad relativa (%)	70.8	74.5	77.4	81.0	81.7	82.5	77.3	72.5	70.6	71.8	72.0	70.8
RESISTENCIA AERO	Velocidad del Viento (km/h)	10.1	10.5	9.9	9.8	9.8	10.0	11.2	12.7	13.8	13.4	12.5	10.7
RESISTENCIA AERO	Nubosidad total (octavos)	3.7	3.8	3.5	4.1	3.8	4.4	3.7	3.6	3.8	3.7	3.5	3.6
RESISTENCIA AERO	Precipitación (mm)	161.1	165.6	174.4	202.3	78.4	63.8	30.6	38.0	68.9	134.7	168.2	146.9
RESISTENCIA AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.9	9.1	9.2	9.6	7.1	7.9	5.6	5.0	7.6	10.1	10.0	9.1
FORMOSA AERO	Temperatura (°C)	27.6	26.8	25.7	22.5	18.9	17.0	16.3	18.1	19.8	23.0	24.7	26.7
FORMOSA AERO	Temperatura máxima (°C)	33.8	32.8	31.9	28.1	24.4	22.4	22.3	24.8	26.3	29.0	30.7	32.8
FORMOSA AERO	Temperatura mínima (°C)	22.3	21.9	20.9	18.2	14.6	12.9	11.7	13.0	14.5	17.9	19.4	21.3
FORMOSA AERO	Humedad relativa (%)	71.2	74.3	75.9	79.5	80.2	80.8	76.5	71.6	70.2	71.8	71.4	70.8
FORMOSA AERO	Velocidad del Viento (km/h)	11.8	11.9	11.2	11.5	11.6	11.9	13.1	14.4	14.9	14.9	14.4	13.0
FORMOSA AERO	Nubosidad total (octavos)	3.9	3.9	3.6	4.0	3.9	4.4	3.8	3.6	3.8	3.9	3.6	3.7
FORMOSA AERO	Precipitación (mm)	165.7	128.7	144.8	175.0	99.3	68.9	47.5	44.2	90.8	142.0	166.5	163.4
FORMOSA AERO	Frecuencia de días con Precipitación superior a 0.1 mm	9.1	8.9	8.5	9.2	7.7	7.2	5.5	5.8	7.6	9.6	9.1	9.1
CORRIENTES AERO	Temperatura (°C)	27.0	26.0	24.7	21.4	18.0	15.9	15.2	17.0	18.5	21.8	23.7	25.8
CORRIENTES AERO	Temperatura máxima (°C)	33.2	31.9	30.6	26.8	23.4	21.0	21.1	23.4	24.9	27.9	29.5	31.9
CORRIENTES AERO	Temperatura mínima (°C)	21.3	20.8	19.7	16.9	13.4	11.6	10.4	11.5	13.1	16.3	17.9	20.1
CORRIENTES AERO	Humedad relativa (%)	70.7	74.6	77.7	80.2	80.0	81.2	76.5	72.3	70.8	72.3	72.1	70.9
CORRIENTES AERO	Velocidad del Viento (km/h)	11.9	12.2	11.8	11.9	11.9	12.1	13.4	14.6	15.5	15.7	14.1	12.5
CORRIENTES AERO	Nubosidad total (octavos)	3.6	3.6	3.3	3.9	3.6	4.3	3.5	3.5	3.6	3.5	3.3	3.5
CORRIENTES AERO	Precipitación (mm)	167.3	161.9	175.1	206.6	91.9	70.5	37.5	47.2	75.7	150.7	184.3	157.7
CORRIENTES AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.5	9.4	8.6	10.2	7.5	8.4	6.1	5.7	8.1	10.4	10.0	9.3
POSADAS AERO	Temperatura (°C)	27.0	26.2	25.1	21.9	18.3	16.5	16.1	17.9	19.2	22.3	24.2	26.3
POSADAS AERO	Temperatura máxima (°C)	33.0	32.1	31.2	27.6	23.9	21.9	21.9	24.2	25.1	28.3	30.3	32.4
POSADAS AERO	Temperatura mínima (°C)	21.8	21.3	20.2	17.4	14.0	12.3	11.6	13.1	14.3	17.1	18.6	20.7
POSADAS AERO	Humedad relativa (%)	68.5	72.1	73.0	76.4	77.4	78.8	74.7	70.3	69.8	69.8	66.9	65.8
POSADAS AERO	Velocidad del Viento (km/h)	9.1	9.1	8.6	8.7	9.0	8.9	10.1	10.9	11.0	11.0	10.4	9.6
POSADAS AERO	Nubosidad total (octavos)	3.6	3.6	3.3	3.7	3.6	4.1	3.6	3.6	3.8	3.7	3.4	3.4
POSADAS AERO	Precipitación (mm)	167.2	154.9	144.1	193.8	138.2	139.8	103.3	93.9	145.1	226.0	181.0	179.9
POSADAS AERO	Frecuencia de días con Precipitación superior a 0.1 mm	10.3	9.6	9.0	10.2	8.3	9.4	9.0	8.3	10.9	11.3	9.5	9.4
TINOGASTA	Temperatura (°C)	25.6	24.4	22.9	18.3	13.5	10.3	10.0	13.2	16.2	21.3	23.9	25.9
TINOGASTA	Temperatura máxima (°C)	33.5	32.4	30.9	26.9	22.6	19.9	19.8	23.1	25.7	30.2	32.5	33.9
TINOGASTA	Temperatura mínima (°C)	18.7	17.3	16.0	10.1	4.5	0.8	0.2	2.5	5.9	11.2	15.1	17.9
TINOGASTA	Humedad relativa (%)	56.9	58.3	60.8	61.6	63.2	60.0	55.4	47.7	47.3	46.5	48.6	51.6
TINOGASTA	Velocidad del Viento (km/h)	5.9	5.2	6.6	4.2	4.3	4.4	4.6	5.9	5.4	6.4	6.5	6.2
TINOGASTA	Nubosidad total (octavos)	4.3	4.1	3.6	2.8	3.0	2.9	2.4	2.1	2.3	2.5	3.2	3.8
TINOGASTA	Precipitación (mm)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
TINOGASTA	Frecuencia de días con Precipitación superior a 0.1 mm	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
LA RIOJA AERO	Temperatura (°C)	27.2	25.8	23.9	19.7	15.1	11.4	10.8	14.2	17.9	22.9	25.5	27.4
LA RIOJA AERO	Temperatura máxima (°C)	34.7	33.0	30.7	26.7	22.6	19.4	19.5	23.0	26.2	30.9	33.5	35.1
LA RIOJA AERO	Temperatura mínima (°C)	21.1	19.9	18.7	14.5	9.7	5.6	4.4	7.2	10.9	16.0	18.7	20.9
LA RIOJA AERO	Humedad relativa (%)	61.8	64.6	68.6	69.7	69.7	69.4	62.9	52.9	48.9	48.8	51.9	55.9
LA RIOJA AERO	Velocidad del Viento (km/h)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
LA RIOJA AERO	Nubosidad total (octavos)	3.9	3.9	3.9	3.6	3.4	3.4	2.6	2.4	2.5	2.8	3.2	3.6
LA RIOJA AERO	Precipitación (mm)	96.3	73.6	65.0	29.3	9.0	2.9	3.8	4.2	9.4	17.6	35.9	65.0
LA RIOJA AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.5	7.4	6.0	3.9	2.1	0.9	1.0	0.6	1.6	2.3	4.1	6.4
CATAMARCA AERO	Temperatura (°C)	27.3	26.0	24.4	20.4	16.0	12.0	11.6	15.4	19.1	23.6	25.6	27.3
CATAMARCA AERO	Temperatura máxima (°C)	34.1	32.8	31.2	27.5	23.5	20.0	20.2	23.9	26.8	30.9	32.7	34.3
CATAMARCA AERO	Temperatura mínima (°C)	21.5	20.4	19.1	14.7	9.8	5.3	4.4	7.7	11.8	16.8	19.3	21.2
CATAMARCA AERO	Humedad relativa (%)	56.2	59.8	63.8	65.3	66.3	66.1	58.6	47.7	43.0	44.7	48.5	52.5
CATAMARCA AERO	Velocidad del Viento (km/h)	20.9	18.9	17.0	14.2	11.7	9.5	10.9	14.8	18.6	22.4	22.5	21.9
CATAMARCA AERO	Nubosidad total (octavos)	3.6	3.6	3.4	3.4	3.5	3.5	2.8	2.7	2.8	2.9	3.1	3.3
CATAMARCA AERO	Precipitación (mm)	83.8	69.2	52.4	27.0	12.6	4.7	8.1	3.2	7.3	25.9	50.2	68.0
CATAMARCA AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.9	7.2	7.0	5.3	3.3	2.0	2.2	1.2	2.2	3.6	5.4	7.4
VILLA MARÍA DEL RÍO SECO	Temperatura (°C)	24.0	22.4	21.0	17.3	14.0	11.2	10.5	12.9	15.3	19.2	21.4	23.4
