Estadísticas Climatológicas Normales - período 1981-2010													
													
Se deja constancia que la información vertida en el presente informe puede sufrir variaciones debido a los procesos de consistencia y depuración a los que es sometida la misma													
S/D: Sin Dato													
													
Estación	Valor Medio de	Ene	Feb	Mar	Abr	May	Jun	Jul	Ago	Sep	Oct	Nov	Dic
CÓRDOBA AERO	Temperatura (°C)	23.4	22.2	20.7	17.2	13.7	10.7	10.0	12.5	14.9	18.6	20.9	22.9
CÓRDOBA AERO	Temperatura máxima (°C)	29.4	28.3	26.9	23.6	20.5	18.0	17.6	20.3	22.3	25.6	27.5	29.0
CÓRDOBA AERO	Temperatura mínima (°C)	17.5	16.6	15.5	11.7	8.3	5.1	4.0	5.9	8.2	11.9	14.4	16.8
CÓRDOBA AERO	Humedad relativa (%)	69.9	73.2	76.0	74.4	72.7	70.3	65.7	58.3	56.7	60.0	62.4	65.9
CÓRDOBA AERO	Velocidad del Viento (km/h)	12.6	11.3	11.4	11.5	11.2	10.9	12.0	13.5	14.8	15.8	15.8	13.7
CÓRDOBA AERO	Nubosidad total (octavos)	3.8	3.9	3.9	4.0	4.2	4.0	3.5	3.3	3.5	3.7	3.7	4.0
CÓRDOBA AERO	Precipitación (mm)	141.0	115.9	126.9	66.3	21.3	4.8	13.5	9.7	35.2	71.9	118.3	156.9
CÓRDOBA AERO	Frecuencia de días con Precipitación superior a 0.1 mm	11.0	9.5	9.6	6.4	4.3	2.0	2.7	1.7	3.7	6.7	8.9	11.1
CÓRDOBA OBSERVATORIO	Temperatura (°C)	24.3	23.1	21.7	18.0	14.5	11.4	10.8	13.3	15.7	19.5	21.8	23.7
CÓRDOBA OBSERVATORIO	Temperatura máxima (°C)	30.9	29.6	28.1	24.8	21.3	18.7	18.3	21.1	23.2	26.6	28.7	30.3
CÓRDOBA OBSERVATORIO	Temperatura mínima (°C)	18.5	17.5	16.4	12.8	9.4	6.3	5.5	7.3	9.5	13.3	15.6	17.9
CÓRDOBA OBSERVATORIO	Humedad relativa (%)	66.3	69.5	72.6	72.3	71.4	70.1	65.5	58.0	55.9	58.0	60.3	63.6
CÓRDOBA OBSERVATORIO	Velocidad del Viento (km/h)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
CÓRDOBA OBSERVATORIO	Nubosidad total (octavos)	3.7	3.7	3.8	3.9	4.1	4.0	3.4	3.4	3.5	3.6	3.6	3.8
CÓRDOBA OBSERVATORIO	Precipitación (mm)	126.3	97.0	112.1	61.3	18.8	4.5	13.3	8.9	35.2	69.8	112.2	154.6
CÓRDOBA OBSERVATORIO	Frecuencia de días con Precipitación superior a 0.1 mm	12.0	10.3	10.3	7.1	5.0	2.8	3.2	2.2	4.9	7.6	10.5	12.7
PILAR OBS.	Temperatura (°C)	23.4	22.1	20.6	17.0	13.6	10.5	9.7	11.9	14.3	18.3	20.8	22.9
PILAR OBS.	Temperatura máxima (°C)	29.9	28.6	27.0	23.7	20.2	17.4	17.0	19.8	22.0	25.3	27.7	29.4
PILAR OBS.	Temperatura mínima (°C)	17.9	16.9	15.7	12.1	8.6	5.5	4.4	5.8	8.2	12.2	14.8	17.1
PILAR OBS.	Humedad relativa (%)	70.2	74.2	77.2	75.5	74.3	72.6	68.0	60.9	58.9	61.6	62.9	66.1
PILAR OBS.	Velocidad del Viento (km/h)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
PILAR OBS.	Nubosidad total (octavos)	3.5	3.6	3.7	3.8	4.1	4.0	3.5	3.3	3.4	3.6	3.6	3.7
PILAR OBS.	Precipitación (mm)	132.2	106.1	109.6	63.4	23.9	4.9	13.8	9.6	33.1	66.6	103.2	130.1
PILAR OBS.	Frecuencia de días con Precipitación superior a 0.1 mm	10.7	9.1	9.5	7.0	4.8	2.9	2.9	2.3	4.5	7.4	9.9	11.7
SAUCE VIEJO AERO	Temperatura (°C)	25.8	24.4	22.8	18.7	15.4	12.2	11.5	13.7	15.9	19.5	22.1	24.4
SAUCE VIEJO AERO	Temperatura máxima (°C)	31.8	30.1	28.5	24.3	21.0	17.6	17.3	19.9	21.9	25.4	27.9	30.2
SAUCE VIEJO AERO	Temperatura mínima (°C)	20.1	19.2	18.0	14.1	10.9	7.9	6.9	8.5	10.5	14.1	16.7	18.9
SAUCE VIEJO AERO	Humedad relativa (%)	70.9	75.4	78.3	81.5	82.5	83.6	80.4	75.7	73.0	72.7	71.1	70.5
SAUCE VIEJO AERO	Velocidad del Viento (km/h)	9.2	8.8	9.6	8.9	9.8	10.1	12.1	13.8	13.9	14.3	13.4	10.9
SAUCE VIEJO AERO	Nubosidad total (octavos)	3.0	3.2	3.1	3.5	3.6	4.0	3.4	3.2	3.3	3.3	3.1	3.1
SAUCE VIEJO AERO	Precipitación (mm)	95.4	112.0	146.4	116.2	49.4	31.5	23.9	28.4	53.2	110.5	128.9	124.9
SAUCE VIEJO AERO	Frecuencia de días con Precipitación superior a 0.1 mm	7.0	7.0	7.9	7.8	4.7	3.5	3.0	3.3	4.9	7.3	7.5	8.2
PARANÁ AERO	Temperatura (°C)	25.1	23.6	22.0	18.0	14.8	12.0	11.3	13.2	15.1	18.5	21.3	23.6
PARANÁ AERO	Temperatura máxima (°C)	31.2	29.6	27.9	23.5	20.2	16.9	16.6	19.3	21.1	24.5	27.2	29.6
PARANÁ AERO	Temperatura mínima (°C)	19.3	18.5	17.1	13.6	10.6	8.0	7.1	8.4	9.9	13.1	15.6	17.8
PARANÁ AERO	Humedad relativa (%)	65.6	71.5	74.5	78.3	78.9	80.1	76.6	71.3	68.8	69.3	66.9	65.2
PARANÁ AERO	Velocidad del Viento (km/h)	10.6	10.3	9.6	9.5	9.4	10.0	11.3	12.7	13.4	13.9	13.2	12.0
PARANÁ AERO	Nubosidad total (octavos)	3.0	3.2	3.1	3.5	3.7	4.1	3.5	3.3	3.4	3.4	3.1	3.1
PARANÁ AERO	Precipitación (mm)	115.2	134.8	155.0	132.7	58.3	38.2	32.4	32.4	61.2	127.6	118.7	141.2
PARANÁ AERO	Frecuencia de días con Precipitación superior a 0.1 mm	7.6	8.0	8.0	8.4	5.4	4.9	4.3	4.3	5.6	9.0	8.2	9.2
MONTE CASEROS AERO	Temperatura (°C)	26.3	25.0	23.5	19.6	16.1	13.7	13.1	15.0	16.6	20.0	22.5	25.0
MONTE CASEROS AERO	Temperatura máxima (°C)	32.6	31.0	29.6	25.3	21.7	18.9	18.8	21.3	22.4	25.8	28.4	31.2
MONTE CASEROS AERO	Temperatura mínima (°C)	20.6	19.9	18.5	15.2	11.7	9.5	8.8	10.0	11.5	14.6	16.8	19.0
MONTE CASEROS AERO	Humedad relativa (%)	66.9	72.9	74.7	79.0	80.4	81.9	78.9	74.5	73.1	71.9	69.1	65.8
MONTE CASEROS AERO	Velocidad del Viento (km/h)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
MONTE CASEROS AERO	Nubosidad total (octavos)	3.3	3.5	3.2	3.6	3.6	4.2	3.7	3.7	3.8	3.6	3.3	3.3
MONTE CASEROS AERO	Precipitación (mm)	154.1	144.7	154.3	189.7	110.9	88.4	64.1	57.5	107.3	146.5	154.0	134.1
MONTE CASEROS AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.3	8.8	8.5	9.5	7.6	7.8	6.4	5.8	7.9	9.4	8.3	8.1
CONCORDIA AERO	Temperatura (°C)	25.8	24.4	22.8	18.8	15.3	12.7	12.2	14.1	15.7	19.1	21.7	24.2
CONCORDIA AERO	Temperatura máxima (°C)	32.2	30.4	28.8	24.5	20.8	17.9	17.8	20.2	21.8	25.1	27.7	30.6
CONCORDIA AERO	Temperatura mínima (°C)	19.4	18.8	17.3	13.8	10.5	8.2	7.4	8.6	10.1	13.2	15.4	17.7
CONCORDIA AERO	Humedad relativa (%)	63.5	70.1	72.4	77.5	79.8	81.0	78.0	73.9	71.4	70.4	67.1	63.7
CONCORDIA AERO	Velocidad del Viento (km/h)	9.3	8.5	7.5	6.8	7.0	7.2	8.6	10.4	11.8	12.3	11.3	10.9
CONCORDIA AERO	Nubosidad total (octavos)	3.1	3.5	3.1	3.5	3.7	4.2	3.8	3.6	3.7	3.6	3.2	3.1
CONCORDIA AERO	Precipitación (mm)	133.9	145.7	156.5	163.4	99.7	82.4	52.2	58.7	85.6	136.9	140.8	121.0
CONCORDIA AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.3	8.4	8.2	9.0	7.8	7.8	6.9	6.4	7.1	8.8	7.8	7.8
SAN MARTÍN (MZA)	Temperatura (°C)	24.6	23.2	20.5	15.6	11.3	8.0	7.5	10.2	13.3	18.0	21.3	23.9
SAN MARTÍN (MZA)	Temperatura máxima (°C)	32.4	31.1	28.1	23.5	19.1	15.7	15.4	18.6	21.5	26.0	29.2	31.7
SAN MARTÍN (MZA)	Temperatura mínima (°C)	17.8	16.5	14.8	10.1	6.1	2.7	1.9	4.0	6.8	11.0	14.0	16.8
SAN MARTÍN (MZA)	Humedad relativa (%)	55.5	59.2	66.4	69.8	70.6	69.9	65.0	56.7	54.7	51.3	51.1	51.5
SAN MARTÍN (MZA)	Velocidad del Viento (km/h)	7.1	6.2	6.0	5.2	4.7	4.5	5.1	5.9	6.9	7.7	8.4	7.5
SAN MARTÍN (MZA)	Nubosidad total (octavos)	2.9	3.0	3.1	3.0	3.4	3.3	3.0	2.8	2.9	2.7	2.6	2.8
SAN MARTÍN (MZA)	Precipitación (mm)	45.0	36.3	43.0	15.8	9.2	3.7	6.8	6.4	12.4	12.7	20.1	28.4
SAN MARTÍN (MZA)	Frecuencia de días con Precipitación superior a 0.1 mm	6.3	5.0	4.4	2.6	2.2	1.4	1.9	1.6	2.7	2.2	3.7	5.3
MENDOZA AERO	Temperatura (°C)	25.5	24.0	21.3	16.2	11.8	8.4	7.9	10.6	13.9	18.8	22.2	24.9
MENDOZA AERO	Temperatura máxima (°C)	32.3	30.9	27.9	23.2	18.7	15.7	15.0	18.3	21.1	25.9	29.2	31.8
MENDOZA AERO	Temperatura mínima (°C)	18.7	17.4	15.5	10.4	6.2	2.9	2.1	4.2	7.2	11.7	15.1	17.9
MENDOZA AERO	Humedad relativa (%)	49.8	53.6	61.8	65.6	68.3	69.4	64.4	55.1	51.3	45.7	44.5	45.8
MENDOZA AERO	Velocidad del Viento (km/h)	8.3	6.9	6.0	4.9	4.5	4.3	4.9	6.0	6.7	8.1	8.9	8.8
MENDOZA AERO	Nubosidad total (octavos)	3.3	3.4	3.4	3.2	3.7	3.5	3.3	3.1	3.2	3.0	3.0	3.1
MENDOZA AERO	Precipitación (mm)	50.5	33.7	34.9	16.5	10.5	6.3	8.0	8.0	15.1	10.4	16.4	24.3
MENDOZA AERO	Frecuencia de días con Precipitación superior a 0.1 mm	6.1	5.1	4.9	3.5	3.2	2.1	2.7	2.4	3.8	3.0	4.0	4.3
MENDOZA OBSERVATORIO	Temperatura (°C)	23.9	22.5	20.0	15.3	11.2	8.1	7.5	10.0	13.0	17.5	20.6	23.2
MENDOZA OBSERVATORIO	Temperatura máxima (°C)	30.4	29.1	26.5	22.0	17.9	15.0	14.5	17.3	19.9	24.2	27.3	29.8
MENDOZA OBSERVATORIO	Temperatura mínima (°C)	18.2	16.9	15.1	10.8	7.0	3.9	3.1	5.1	7.4	11.5	14.5	17.3
MENDOZA OBSERVATORIO	Humedad relativa (%)	53.5	58.1	64.7	66.1	67.8	68.8	64.8	57.3	54.9	50.7	50.5	51.3
MENDOZA OBSERVATORIO	Velocidad del Viento (km/h)	4.4	3.8	4.0	3.4	3.0	3.1	3.8	4.3	4.3	5.2	5.7	4.9
MENDOZA OBSERVATORIO	Nubosidad total (octavos)	3.4	3.5	3.6	3.4	3.8	3.7	3.4	3.2	3.4	3.1	3.1	3.3
MENDOZA OBSERVATORIO	Precipitación (mm)	40.0	43.0	38.7	19.6	12.9	8.7	10.9	10.4	18.8	13.7	20.7	28.0
MENDOZA OBSERVATORIO	Frecuencia de días con Precipitación superior a 0.1 mm	7.4	6.5	7.4	4.4	3.7	3.2	3.5	3.4	4.9	4.0	4.4	5.7
SAN LUIS AERO	Temperatura (°C)	24.4	23.2	20.8	16.6	12.9	10.0	9.4	11.9	14.7	18.9	21.6	23.8
SAN LUIS AERO	Temperatura máxima (°C)	31.1	30.0	27.3	23.3	19.7	17.0	16.6	19.3	21.8	25.8	28.4	30.5
SAN LUIS AERO	Temperatura mínima (°C)	17.9	17.0	15.3	11.3	7.7	4.5	3.7	5.9	8.5	12.5	15.0	17.1
SAN LUIS AERO	Humedad relativa (%)	54.4	56.7	63.7	64.6	64.2	62.4	57.6	49.6	47.0	46.9	48.3	51.4
SAN LUIS AERO	Velocidad del Viento (km/h)	18.0	16.7	15.1	14.8	13.8	14.2	15.4	17.3	17.9	21.7	20.9	20.1
SAN LUIS AERO	Nubosidad total (octavos)	3.4	3.2	3.4	3.3	3.9	3.9	3.5	3.2	3.4	3.3	3.3	3.4
SAN LUIS AERO	Precipitación (mm)	119.5	97.5	98.9	41.4	19.8	5.7	11.2	8.6	24.3	40.5	80.4	110.1
SAN LUIS AERO	Frecuencia de días con Precipitación superior a 0.1 mm	10.2	8.3	7.9	5.0	3.3	1.9	2.7	2.2	4.3	5.4	7.8	10.6
VILLA REYNOLDS AERO	Temperatura (°C)	22.9	21.7	19.5	15.1	11.2	7.9	7.1	9.6	12.7	16.9	19.8	22.2
VILLA REYNOLDS AERO	Temperatura máxima (°C)	30.8	30.0	27.7	23.9	20.3	17.4	16.9	19.7	22.0	25.2	27.8	30.0
VILLA REYNOLDS AERO	Temperatura mínima (°C)	15.2	14.3	12.7	8.3	4.4	1.0	-0.1	1.6	4.4	8.9	11.8	14.3
VILLA REYNOLDS AERO	Humedad relativa (%)	68.2	70.7	76.0	76.5	76.4	75.9	72.2	65.7	63.0	62.9	63.0	65.0
VILLA REYNOLDS AERO	Velocidad del Viento (km/h)	12.4	11.3	10.2	8.9	8.5	8.4	8.9	10.5	12.3	15.1	15.8	14.3
VILLA REYNOLDS AERO	Nubosidad total (octavos)	3.8	3.6	3.7	3.6	4.1	4.2	3.8	3.7	3.8	4.0	3.9	3.9
VILLA REYNOLDS AERO	Precipitación (mm)	103.7	85.7	94.6	55.0	28.5	9.5	18.8	17.1	35.2	58.8	85.9	113.1
VILLA REYNOLDS AERO	Frecuencia de días con Precipitación superior a 0.1 mm	9.8	8.1	9.0	6.0	4.4	2.7	3.7	3.4	5.4	8.3	9.7	10.9
RÍO CUARTO AERO	Temperatura (°C)	22.9	21.8	20.1	16.3	12.7	9.7	8.9	11.0	13.6	17.4	20.1	22.2
RÍO CUARTO AERO	Temperatura máxima (°C)	28.9	28.0	26.3	22.7	19.0	15.9	15.5	18.2	20.5	24.0	26.5	28.3
RÍO CUARTO AERO	Temperatura mínima (°C)	17.5	16.6	15.2	11.5	8.0	4.9	4.0	5.6	7.9	11.6	14.3	16.6
RÍO CUARTO AERO	Humedad relativa (%)	67.8	70.2	74.0	72.9	72.2	70.9	66.8	60.2	58.6	60.8	61.2	63.8
RÍO CUARTO AERO	Velocidad del Viento (km/h)	15.9	14.3	13.7	13.8	12.4	13.5	15.1	16.7	18.3	19.0	18.3	16.8
RÍO CUARTO AERO	Nubosidad total (octavos)	3.4	3.4	3.4	3.5	3.9	3.9	3.5	3.3	3.5	3.7	3.6	3.6
RÍO CUARTO AERO	Precipitación (mm)	144.5	90.6	107.8	64.7	31.5	8.4	14.5	13.9	40.1	75.4	128.7	138.6
RÍO CUARTO AERO	Frecuencia de días con Precipitación superior a 0.1 mm	9.5	7.5	8.2	6.0	3.9	2.4	3.3	2.6	4.7	7.6	9.1	10.3
MARCOS JUÁREZ AERO	Temperatura (°C)	23.8	22.2	20.7	16.9	13.3	10.2	9.3	11.4	13.9	17.9	20.9	23.0
MARCOS JUÁREZ AERO	Temperatura máxima (°C)	30.8	29.1	27.7	24.0	20.4	17.0	16.7	19.6	21.7	25.3	28.1	29.9
MARCOS JUÁREZ AERO	Temperatura mínima (°C)	17.5	16.4	15.1	11.5	8.1	5.0	3.8	5.1	7.2	11.3	14.2	16.5
MARCOS JUÁREZ AERO	Humedad relativa (%)	73.8	78.7	80.0	80.0	80.4	81.2	78.2	73.7	70.8	70.0	68.0	70.2
MARCOS JUÁREZ AERO	Velocidad del Viento (km/h)	8.5	8.0	9.1	8.9	8.9	9.0	10.4	12.4	13.7	13.9	13.3	10.4
MARCOS JUÁREZ AERO	Nubosidad total (octavos)	3.2	3.1	3.1	3.4	3.7	4.0	3.5	3.2	3.3	3.4	3.3	3.3
MARCOS JUÁREZ AERO	Precipitación (mm)	114.3	115.0	108.1	96.3	36.8	15.8	17.0	21.2	43.1	94.6	101.1	148.3
MARCOS JUÁREZ AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.3	7.8	8.4	7.3	5.0	3.7	3.4	3.6	4.9	8.0	8.7	9.6
ROSARIO AERO	Temperatura (°C)	24.6	23.2	21.4	17.3	13.8	10.7	10.0	12.1	14.5	18.1	21.0	23.4
ROSARIO AERO	Temperatura máxima (°C)	30.8	29.2	27.4	23.5	19.9	16.6	16.2	18.9	20.9	24.2	27.1	29.6
ROSARIO AERO	Temperatura mínima (°C)	18.4	17.5	16.0	12.1	8.7	6.0	4.8	6.2	8.3	12.0	14.7	17.2
ROSARIO AERO	Humedad relativa (%)	68.2	73.7	77.2	80.0	81.1	82.2	79.6	74.7	70.6	70.4	67.9	67.2
ROSARIO AERO	Velocidad del Viento (km/h)	11.1	10.0	10.1	9.3	9.3	10.0	11.1	12.4	13.8	14.5	13.8	11.9
ROSARIO AERO	Nubosidad total (octavos)	3.2	3.3	3.1	3.5	3.8	4.3	3.7	3.5	3.5	3.6	3.4	3.3
ROSARIO AERO	Precipitación (mm)	111.8	120.6	144.8	111.8	59.0	27.7	24.7	32.4	47.4	108.5	112.3	120.6
ROSARIO AERO	Frecuencia de días con Precipitación superior a 0.1 mm	7.9	7.6	8.1	8.2	5.2	4.7	4.1	4.2	5.3	8.9	8.6	9.4
GUALEGUAYCHÚ AERO	Temperatura (°C)	25.1	23.7	22.0	17.8	14.2	11.3	10.7	12.8	14.7	18.0	20.9	23.4
GUALEGUAYCHÚ AERO	Temperatura máxima (°C)	31.6	29.8	28.2	23.9	20.2	17.1	16.7	19.2	20.6	24.0	27.0	29.9
GUALEGUAYCHÚ AERO	Temperatura mínima (°C)	18.8	18.0	16.5	12.6	9.3	6.7	6.0	7.4	9.0	12.1	14.7	17.0
GUALEGUAYCHÚ AERO	Humedad relativa (%)	65.1	71.6	74.3	78.8	80.7	82.5	80.3	75.9	72.9	71.9	68.9	65.4
GUALEGUAYCHÚ AERO	Velocidad del Viento (km/h)	9.2	8.1	7.9	7.6	8.1	8.6	9.6	10.5	11.5	11.3	11.7	10.4
GUALEGUAYCHÚ AERO	Nubosidad total (octavos)	3.1	3.3	3.1	3.4	3.7	4.1	3.7	3.6	3.5	3.5	3.3	3.2
GUALEGUAYCHÚ AERO	Precipitación (mm)	109.6	102.5	131.6	113.9	82.7	56.0	50.6	54.4	71.0	110.1	119.9	116.5
GUALEGUAYCHÚ AERO	Frecuencia de días con Precipitación superior a 0.1 mm	7.6	7.6	8.1	8.7	6.6	6.5	6.1	5.8	6.9	9.2	8.3	8.6
MALARGÜE AERO	Temperatura (°C)	20.0	18.7	16.2	11.3	7.1	4.6	3.6	5.5	8.2	12.6	16.0	19.0
MALARGÜE AERO	Temperatura máxima (°C)	28.5	27.1	24.7	19.9	15.0	12.1	11.4	13.7	16.3	20.6	24.3	27.2
MALARGÜE AERO	Temperatura mínima (°C)	11.2	10.5	8.8	4.4	1.0	-1.1	-2.4	-1.2	0.9	4.4	7.2	10.1
MALARGÜE AERO	Humedad relativa (%)	46.0	51.6	58.2	62.0	64.2	66.3	64.2	59.0	53.5	45.8	42.8	43.1
MALARGÜE AERO	Velocidad del Viento (km/h)	8.7	7.9	6.5	6.9	6.9	8.1	9.6	9.4	9.4	10.8	10.7	10.1
MALARGÜE AERO	Nubosidad total (octavos)	2.6	2.8	3.1	3.3	4.0	4.1	3.9	3.7	3.7	3.5	3.1	2.8
MALARGÜE AERO	Precipitación (mm)	25.0	26.4	33.5	22.9	26.9	38.7	34.1	30.1	23.9	19.6	22.3	29.6
MALARGÜE AERO	Frecuencia de días con Precipitación superior a 0.1 mm	5.0	5.7	4.9	3.5	4.9	6.0	4.9	5.0	5.2	4.0	3.7	4.3
SAN RAFAEL AERO	Temperatura (°C)	23.3	22.0	19.3	14.5	10.5	7.7	6.9	9.0	11.8	16.3	19.6	22.4
SAN RAFAEL AERO	Temperatura máxima (°C)	31.1	30.0	27.0	22.5	18.5	15.8	15.2	17.6	19.8	24.2	27.5	30.2
SAN RAFAEL AERO	Temperatura mínima (°C)	15.4	14.5	12.8	8.4	4.8	2.0	0.9	2.4	4.7	8.3	11.2	14.0
SAN RAFAEL AERO	Humedad relativa (%)	53.6	56.8	63.6	66.9	68.0	66.1	63.4	57.2	55.8	51.9	50.2	50.7
SAN RAFAEL AERO	Velocidad del Viento (km/h)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
SAN RAFAEL AERO	Nubosidad total (octavos)	2.7	2.7	2.9	2.9	3.4	3.4	3.2	3.0	3.1	3.0	2.8	2.6
SAN RAFAEL AERO	Precipitación (mm)	61.0	42.8	37.2	26.1	15.6	9.1	13.2	16.0	27.4	30.5	38.6	45.3
SAN RAFAEL AERO	Frecuencia de días con Precipitación superior a 0.1 mm	7.5	6.1	5.3	4.1	3.7	2.9	2.8	3.3	4.7	4.7	5.7	6.7
GENERAL PICO AERO	Temperatura (°C)	23.8	22.5	20.2	16.0	12.0	8.8	8.1	10.4	13.1	16.7	20.0	22.8
GENERAL PICO AERO	Temperatura máxima (°C)	30.7	29.7	27.2	22.9	18.7	15.2	14.8	17.7	20.2	23.6	27.0	29.7
GENERAL PICO AERO	Temperatura mínima (°C)	16.9	15.8	14.4	10.3	6.6	3.6	2.6	4.1	6.5	10.2	13.2	15.8
GENERAL PICO AERO	Humedad relativa (%)	64.7	67.4	72.2	73.8	76.5	78.2	75.1	67.2	65.2	65.1	60.1	59.7
GENERAL PICO AERO	Velocidad del Viento (km/h)	12.4	10.8	10.9	9.6	9.8	9.5	10.7	14.1	14.4	15.6	15.5	13.6
GENERAL PICO AERO	Nubosidad total (octavos)	3.2	3.0	3.4	3.4	3.8	4.2	3.9	3.5	3.7	3.7	3.4	3.3
GENERAL PICO AERO	Precipitación (mm)	111.2	102.7	143.8	70.4	32.8	17.4	22.0	24.9	55.2	87.2	99.8	124.4
GENERAL PICO AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.5	6.7	8.9	6.2	4.7	3.8	4.2	3.4	5.9	8.9	8.4	8.9
LABOULAYE AERO	Temperatura (°C)	23.1	21.9	19.9	15.8	12.2	8.9	8.1	10.2	12.8	16.6	19.6	22.2
LABOULAYE AERO	Temperatura máxima (°C)	30.3	29.3	27.1	23.0	19.3	15.9	15.5	18.3	20.7	23.8	26.9	29.3
LABOULAYE AERO	Temperatura mínima (°C)	16.7	15.6	14.2	10.4	6.9	3.8	2.7	3.9	6.2	10.2	13.1	15.7
LABOULAYE AERO	Humedad relativa (%)	70.3	72.9	77.1	77.6	78.1	78.3	74.7	68.8	66.7	68.2	66.5	66.7
LABOULAYE AERO	Velocidad del Viento (km/h)	10.2	8.6	9.2	8.1	8.0	8.0	8.9	11.5	12.9	14.8	14.5	12.6
LABOULAYE AERO	Nubosidad total (octavos)	3.4	3.2	3.4	3.6	4.1	4.3	3.9	3.6	3.6	3.8	3.5	3.5
LABOULAYE AERO	Precipitación (mm)	120.7	105.7	138.8	83.4	36.0	11.7	17.6	17.2	47.3	91.0	105.0	128.7
LABOULAYE AERO	Frecuencia de días con Precipitación superior a 0.1 mm	9.9	8.1	9.4	7.5	4.9	3.9	4.1	3.6	5.7	9.3	10.3	10.9
PEHUAJÓ AERO	Temperatura (°C)	22.5	21.3	19.2	15.3	11.8	8.6	8.0	9.9	12.3	15.6	18.6	21.4
PEHUAJÓ AERO	Temperatura máxima (°C)	29.6	28.3	26.1	22.0	17.9	14.4	14.0	16.7	18.8	22.0	25.3	28.3
PEHUAJÓ AERO	Temperatura mínima (°C)	16.1	14.9	13.4	9.9	6.7	3.9	3.0	4.2	6.3	9.9	12.5	14.9
PEHUAJÓ AERO	Humedad relativa (%)	69.9	73.5	77.6	78.4	80.3	82.0	79.8	74.2	72.6	73.1	70.0	67.9
PEHUAJÓ AERO	Velocidad del Viento (km/h)	12.0	10.7	11.7	9.9	9.2	9.0	10.3	12.8	14.0	15.5	15.0	14.4
PEHUAJÓ AERO	Nubosidad total (octavos)	3.4	3.2	3.4	3.5	4.0	4.3	4.1	3.8	3.8	3.9	3.6	3.4
PEHUAJÓ AERO	Precipitación (mm)	119.6	101.2	149.3	79.9	49.0	25.8	24.0	28.8	63.6	116.1	104.3	107.0
PEHUAJÓ AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.6	6.6	8.8	6.5	5.3	4.5	4.5	4.1	5.9	9.2	8.0	8.8
JUNÍN AERO	Temperatura (°C)	23.0	21.7	19.7	15.8	12.4	9.3	8.6	10.7	12.9	16.3	19.4	22.0
JUNÍN AERO	Temperatura máxima (°C)	29.8	28.4	26.6	22.6	19.0	15.5	15.0	17.7	19.7	22.7	26.0	28.8
JUNÍN AERO	Temperatura mínima (°C)	16.6	15.8	14.2	10.4	7.2	4.5	3.6	4.8	6.7	10.1	12.8	15.2
JUNÍN AERO	Humedad relativa (%)	69.6	74.4	77.2	77.8	78.5	79.3	77.1	72.3	70.1	71.1	67.8	65.9
JUNÍN AERO	Velocidad del Viento (km/h)	11.6	9.9	10.6	9.7	10.1	10.2	11.4	13.1	14.5	15.2	15.5	13.4
JUNÍN AERO	Nubosidad total (octavos)	3.4	3.3	3.3	3.5	3.9	4.3	4.0	3.7	3.7	3.8	3.6	3.5
JUNÍN AERO	Precipitación (mm)	132.3	118.8	133.2	109.1	61.2	26.8	31.5	32.4	55.3	122.8	110.7	110.0
JUNÍN AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.2	7.8	9.0	7.6	5.3	4.4	4.8	4.5	5.9	9.9	9.2	8.6
NUEVE DE JULIO	Temperatura (°C)	23.5	22.1	19.8	15.8	12.2	9.2	8.7	10.7	13.1	16.2	19.5	22.2
NUEVE DE JULIO	Temperatura máxima (°C)	30.5	29.1	26.8	22.5	18.7	15.0	14.5	17.2	19.4	22.6	26.1	29.1
NUEVE DE JULIO	Temperatura mínima (°C)	16.7	15.9	14.3	10.6	7.5	4.8	4.0	5.3	7.0	10.3	12.9	15.3
NUEVE DE JULIO	Humedad relativa (%)	64.3	69.1	74.1	76.0	78.3	78.9	77.0	70.4	68.2	69.0	65.1	63.4
NUEVE DE JULIO	Velocidad del Viento (km/h)	9.6	8.4	8.8	8.4	8.8	8.2	9.4	10.7	10.9	11.7	11.3	10.3
NUEVE DE JULIO	Nubosidad total (octavos)	3.1	3.1	3.3	3.4	3.8	4.2	4.0	3.6	3.6	3.6	3.5	3.2
NUEVE DE JULIO	Precipitación (mm)	127.9	114.2	144.8	110.3	60.8	38.4	38.3	35.2	61.7	113.0	108.8	106.9
NUEVE DE JULIO	Frecuencia de días con Precipitación superior a 0.1 mm	8.9	7.4	9.5	8.1	6.5	5.9	6.6	5.1	6.5	10.3	9.7	9.5
SAN MIGUEL	Temperatura (°C)	24.2	22.7	20.9	16.9	13.4	10.6	10.2	12.0	14.0	17.1	20.0	22.5
SAN MIGUEL	Temperatura máxima (°C)	30.1	28.5	26.7	22.6	19.0	15.7	15.2	17.6	19.3	22.6	25.5	28.4
